ty
96
96
96
96
96
96
96
96
97
96
97
96
96
96
96
96
97
96
96
96
96
96
96
96
96
96
95
95
95
95
95
95
95
95
96
96
96
96
96
96
96
96
97
97
97
97
97
97
97
97
97
97
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
97
97
97
97
97
97
97
97
97
97
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
95
95
95
95
95
95
95
95
95
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
95
95
95
95
95
95
95
95
95
95
95
95
95
95
94
94
94
94
93
92
92
92
92
92
93
92
92
92
91
90
89
87
85
82
79
76
72
69
65
62
58
54
50
46
42
38
35
31
27
25
22
20
18
17
17
16
16
16
17
17
17
17
17
18
18
19
20
22
24
27
30
34
39
43
49
54
59
65
70
75
80
83
87
90
92
93
94
95
95
95
95
95
95
95
95
95
96
95
95
95
96
96
96
96
95
96
96
96
96
96
96
96
96
96
97
96
96
96
96
96
97
97
97
96
96
96
96
95
95
96
95
95
95
95
96
96
96
96
96
96
96
97
96
97
97
96
96
97
97
97
96
96
96
96
96
97
97
96
96
96
97
97
97
97
97
97
97
97
97
97
97
96
96
96
96
96
96
96
96
96
96
96
96
96
97
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
95
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
95
95
95
95
95
95
95
95
95
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
95
95
95
95
95
95
95
95
95
95
95
96
96
96
96
96
96
96
96
96
97
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
95
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
95
95
95
95
95
95
94
95
95
95
95
95
95
95
95
95
95
95
95
95
95
95
95
96
96
96
96
96
96
97
96
97
97
96
96
96
96
96
96
96
96
98
98
98
98
98
98
98
98
98
98
98
99
98
98
98
98
97
98
98
98
97
97
97
97
97
97
98
98
98
98
98
99
99
99
98
99
98
98
99
98
99
98
98
99
99
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
99
99
99
98
98
98
98
98
97
97
97
97
97
98
98
98
98
98
98
98
97
97
98
98
97
98
98
98
98
98
99
99
98
98
98
98
98
98
98
98
97
98
98
98
98
98
98
98
98
98
98
97
96
97
97
96
96
96
96
96
96
96
96
96
96
96
95
95
95
95
95
95
96
95
95
96
96
95
95
95
95
95
95
94
94
93
92
91
89
87
84
81
78
75
71
67
63
60
56
53
49
45
42
38
34
31
28
25
23
21
20
19
18
17
17
17
17
18
18
18
18
18
18
18
19
20
22
25
28
31
35
39
45
50
55
61
66
71
77
81
86
89
91
94
96
97
97
98
97
97
97
97
97
97
97
97
97
97
97
97
97
97
98
98
98
97
96
96
97
97
96
97
97
96
97
97
98
97
97
97
97
97
97
97
97
97
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
99
99
99
99
99
98
98
98
98
98
98
98
98
98
98
98
98
97
97
97
97
97
98
97
97
98
97
97
97
97
97
97
97
97
97
97
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
99
99
99
98
98
98
99
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
99
99
98
98
98
98
98
98
98
98
97
97
97
97
97
97
97
97
97
97
97
97
97
97
97
97
97
97
98
98
98
98
98
98
98
98
98
98
98
98
98
98
97
97
97
97
97
98
98
97
97
97
97
97
97
98
98
98
98
98
98
98
98
97
98
97
97
97
97
97
97
97
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
97
97
97
98
98
98
98
98
98
97
98
97
97
97
97
97
97
97
97
98
97
98
98
98
98
98
98
98
98
97
97
98
97
97
97
97
97
97
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
98
96
96
96
96
96
96
96
96
96
96
96
96
96
96
97
97
97
97
98
97
98
97
97
96
96
95
94
94
94
94
94
95
95
95
95
95
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
96
97
96
96
96
96
97
96
96
97
96
96
96
96
96
96
95
95
95
95
95
95
95
95
95
96
96
96
96
96
96
95
95
95
96
96
96
96
96
96
97
97
97
97
97
97
97
96
97
97
97
96
96
96
96
96
